Ground Truth,Greedy Search,Beam Search,Top-K Sampling,Top-P Sampling,,Zeb,Ben ,Hamza,,Average: 
"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis .",The Palestinian Authority becomes the 123rd member of the International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki says it is a move toward greater justice.,Palestinian Authority becomes 123rd member of the International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki said it was a move toward greater justice.,The Palestinian Authority becomes the 123rd member of the International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki said it was a move toward greater justice.,"The Palestinian Authority becomes the 123rd member of the International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States, neither of which is an ICC member, opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki said it was a move toward greater justice.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",REMEMBER ONLY THE TOP 20,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia .","A dog apparently hit by a car and buried in a field survives. The dog, now named Theia, was found emaciated and dirt-covered. She suffered a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for TheIA's care.","Theia, a bully breed mix, was hit by a car and buried in a field. She was found emaciated and dirt-covered four days later. The dog suffered a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for her care.","A bully breed mix was hit by a car and buried in a field. She was found emaciated and dirt-covered four days later. The dog, now named Theia, suffered a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for her care.","Theia was apparently hit by a car and buried in a field. She was found emaciated and covered in dirt four days later. The bully breed mix suffered a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for Theia's care.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English .",Mohammad Javad Zarif is the Iranian foreign minister. He has been John Kerry's opposite number in securing a breakthrough in nuclear discussions. But there are some facts about Zar if that are less well-known. The feds investigated him over his alleged role in controlling the Alavi Foundation.,Mohammad Javad Zarif is the Iranian foreign minister. He has been John Kerry's opposite number in securing a breakthrough in nuclear discussions. But there are some facts about him that are less well-known. The feds investigated him over his alleged role in controlling the Alavi Foundation.,"Mohammad Javad Zarif is the Iranian foreign minister. He has been John Kerry's opposite number in securing a breakthrough in nuclear discussions. But there are some facts about him that are less well-known. In September 2013, he tweeted ""Happy Rosh Hashanah,"" referring to the Jewish New Year.",Mohammad Javad Zarif is the Iranian foreign minister. He has been U.S. Secretary of State John Kerry's opposite number in the nuclear talks. But there are some facts about him that are less well-known. His official biography cannot agree with itself on when he was born.,,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment .","The five were exposed to Ebola in Sierra Leone in March. None developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. All had contact with a colleague who was diagnosed with the disease. The last of 17 patients being monitored are expected to be released by Thursday.","The five were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area.","The five were exposed to Ebola in Sierra Leone in March. None developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. All had contact with a colleague who was diagnosed with the disease and is being treated at the National Institutes of Health in Maryland.","The five were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m.","The student admitted to hanging the noose, Duke University says. The student is no longer on campus and will face student conduct review. Officials are still trying to determine if other people were involved. Criminal investigations are ongoing.. ""This is not the Duke we're here to experience,"" the president says at a forum.",The student is no longer on campus and will face student conduct review. Officials are still trying to determine if other people were involved. The incident is one of several recent racist events to affect college students. Last month a fraternity at the University of Oklahoma had its charter removed after a video surfaced showing members using the N-word.,The student was identified during an investigation by campus police and the office of student affairs. Officials are still trying to determine if other people were involved. The incident is one of several recent racist events to affect college students. Last month a fraternity at the University of Oklahoma had its charter removed after a video surfaced.,"A student has admitted to hanging a noose from a tree near a student union, university officials say. The prestigious private school didn't identify the student, citing federal privacy laws. Students and faculty members marched Wednesday afternoon chanting ""We are not afraid. We stand together""",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral .","Trey Moses, a star basketball player, asked Ellie Meredith, who has Down syndrome, to prom. Photos of the two have gone viral. ""That's the kind of person Trey is,"" Ellie's mom says. Trey's future coach at Ball State, James Whitford, said he felt great about the prom-posal.","Trey Moses asked Ellie Meredith to be his prom date. He made the prom-posal in the gym during Ellie's P.E. class. ""She's great... she listens and she's easy to talk to,"" he said. Photos of Trey and Ellie on Twitter have gone viral.","Trey Moses asked Ellie Meredith to be his prom date. ""She's great... she listens and she's easy to talk to,"" he said. Photos of the couple have gone viral on Twitter. Ellie's mom: ""You just feel numb to those moments raising a special needs child""","Trey Moses, a basketball star at Eastern High School in Kentucky, asked Ellie Meredith to be his prom date. ""She's great... she listens and she's easy to talk to,"" he said. Photos of Trey and Ellie have gone viral on social media. Ellie's mom: ""You just feel numb to those moments raising a special needs child""",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of terrorism to advance executions .
The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","Amnesty International says governments are using the threat of terrorism to advance executions. The organization's annual report catalogs the use of state-sanctioned killing as a punitive measure. At least 607 people were executed around the world in 2014, compared to 778 in 2013.","Amnesty International's annual report catalogs the use of state-sanctioned killing as a punitive measure. The number of executions worldwide has gone down by almost 22% on the previous year. At least 2,466 people globally are confirmed to have been handed the sentence last year, an increase of 28%.","Amnesty International's annual report catalogs the use of state-sanctioned killing as a punitive measure. At least 607 people were executed around the world in 2014, compared to 778 in 2013. The U.S. remains one of the worst offenders for imposing capital punishment, with only Iran, Iraq and Saudi Arabia executing more people.","Amnesty International's annual report catalogs the use of state-sanctioned killing as a punitive measure. The number of executions worldwide has gone down by almost 22% on the previous year. At least 2,466 people globally are confirmed to have been handed the sentence last year, an increase of 28% compared with 2013.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time .","Andrew Getty, 47, was found dead in his home. He was the grandson of oil tycoon J. Paul Getty. The Gettys are estimated to be worth about $5 billion. Andrew Getty had ""several health issues,"" police say.. A hearing in the case had been scheduled for next week.","Andrew Getty appears to have died of natural causes, police say. He was found on his side near a bathroom in his home, KTLA reports. Andrew Getty, 47, had ""several health issues,"" a police spokesman says. His parents have released a statement confirming their son's death.","Andrew Getty, 47, had ""several health issues,"" police say. He was found on his side near a bathroom in his home, KTLA reports. The coroner's preliminary assessment is there was no foul play involved in the death, a police spokesman says. There is no criminal investigation underway, he adds.","Andrew Getty appears to have died of natural causes, police say. The coroner's preliminary assessment is there was no foul play involved in the death. Andrew Getty, 47, had ""several health issues,"" a police spokesman says. Getty was found on his side near a bathroom in his home, KTLA reports.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines .","Maysak gained super typhoon status just a few days ago. It's now a tropical storm, but still packing winds of more than 70 mph. Authorities are barring outdoor activities like swimming, surfing, diving and boating. The storm is expected to make landfall Sunday morning.","Maysak gained super typhoon status just a few days ago. It has since lost steam and is now classified as a tropical storm. The storm is expected to make landfall Sunday morning on the southeastern coast of Isabela province. Authorities are barring outdoor activities like swimming, surfing, diving and boating.","Maysak gained super typhoon status just a few days ago. It has since lost steam and is now classified as a tropical storm. Authorities are barring outdoor activities like swimming, surfing, diving and boating in some locales. The storm is expected to make landfall Sunday morning.","Maysak gained super typhoon status just a few days ago. It's now classified as a tropical storm. The storm is expected to make landfall Sunday morning on the southeastern coast of Isabela province. Authorities have barred outdoor activities like swimming, surfing, diving and boating in some locales.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 .","Bob Barker returned to ""The Price Is Right"" for the first time in eight years. Barker hosted the show for 35 years before stepping down in 2007. He handled the classic ""Lucky Seven"" game. Drew Carey finished up the April 1 edition.. The show airs on ABC.","Bob Barker returned to ""The Price Is Right"" for the first time in eight years. The 91-year-old hosted the show for 35 years before stepping down in 2007. Drew Carey finished up hosting duties on the April 1 edition of the game show, which was Barker's last.","Bob Barker returned to ""The Price Is Right"" for the first time in eight years. Barker hosted the TV game show for 35 years before stepping down in 2007. The 91-year-old looked spry at 91 on the April 1 edition of the show. He handled the classic ""Lucky Seven"" game before handing over to Drew Carey.","Bob Barker returned to host ""The Price Is Right"" for the first time in eight years. The 91-year-old hosted the show for 35 years before stepping down in 2007. Drew Carey finished up hosting duties on the April 1 edition of the game show.angler: Jeff Pearlman.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
